Tower_ID	Latitude	Longitude	Address			
1006424	40.7151111	-74.0120278	89 Murray Street NY01645A	New York	NY	T-Mobile Northeast LLC
1006553	40.6938056	-74.1605278	NA	NEWARK	NJ	FEDERAL AVIATION ADMINISTRATION
1033200	40.0485556	-75.0765556	NA	PHILADELPHIA		MOBILITIE LLC
1033200	40.0485556	-75.0765556	NA	PHILADELPHIA		MOBILITIE LLC
1033201	40.7347222	-74.0277778	RAILROAD PASSENGER TERMINAL	HOBOKEN	NJ	NEW JERSEY TRANSIT RAIL OPERATIONS
1033211	40.4487222	-74.3954167	NA	EAST BRUNSWICK		FREQUENCY PLUS CORPORATION
1038739	40.6938889	-74.1607778	NA	NEWARK	NJ	FEDERAL AVIATION ADMINISTRATION
1052702	40.4596944	-74.3997778	NA	NEW BRUNSWICK		PYRAMID NETWORK SERVICES LLC RB
1052707	40.6721111	-74.1996944	945-947 JULIA STREET	ELIZABETH	NJ	
1052871	40.6629444	-74.1812778	SCHILLER STREET	ELIZABETH	NJ	
1055781	40.1128333	-74.8648889	Bristol 3rd Fire Dist 2PA32232	Bristol		SBA Monarch Towers II LLC
1055782	40.0250278	-75.0354722	7106 JAMES STREET	PHILADELPHIA	PA	ATT Mobility Spectrum LLC
1055783	40.0728333	-75.0592222	1501 Rhawn Street  1PH7991D	Philadelphia	PA	T-Mobile Northeast LLC
1055784	40.0482778	-75.0823056	1005 Unruh Avenue  1PH7990B	Philadelphia	PA	T-Mobile Northeast LLC
1055785	40.06475	-75.0515	8220 BUSTLETON AVE	PHILADELPHIA	PA	PHILADELPHIA CITY OF
1055786	40.064	-75.0840556	830 BLEIGH STREET	PHILADELPHIA	PA	Crown Atlantic Company LLC
1055787	40.0272778	-75.0608056	NA	CHELTENHAM		NEXTEL COMMUNICATIONS
1055788	40.0524167	-75.0785	NA	PHILADELPHIA		T-MOBILE NORTHEAST LLC
1055789	40.0658889	-75.0657778	NA	PHILADELPHIA		SPRINT SPECTRUM LP SRF
1055790	40.0328889	-75.0762778	NA	CHELTENHAM		ATT WIRELESS PCS
1055791	40.06175	-75.0422222	NA	PHILADELPHIA		CRICKET COMMUNICATION NS
1055792	40.0627778	-75.0419722	NA	PHILADELPHIA		CELL TOWER LEASE ACQUISITION LLC
1055793	40.0739722	-75.0581667	NA	PHILADELPHIA		T-MOBLE USA  INC
1055794	40.059	-75.0851667	NA	CHELTENHAM		NEXTEL COMMUNICATIONS
1055795	40.0595556	-75.0851667	NA	CHELTENHAM		NEXTEL COMMUNICATIONS
1055796	40.0412222	-75.0885	NA	CHELTENHAM		ATT WIRELESS PCS
1055797	40.0421389	-75.0888889	NA	PHILADELPHIA		ATT MOBILITY
1055798	40.0427778	-75.0897222	NA	OXFORD CIRCLE		SPAWAR ATLANTIC
1055799	40.0645556	-75.0837778	NA	PHILADELPHIA		AWACS INC
1055895	40.01775	-75.0469167	NA	PHILADELPHIA		PECO
1061400	40.5328056	-74.2983611	WOODBRIDGE HQ at mile post 1291 Garden State Pkwy	WOODBRIDGE	NJ	New Jersey Turnpike Authority Parkway Division
1061403	40.4466111	-74.4073611	NA	EAST BRUNSWICK		CROWN CASTLE USA - ALBANY
1061413	40.6400278	-74.2118056	2500 BRUNSWICK AVENUE	LINDEN	NJ	
1063147	40.5845278	-74.2792222	312 South Inman Ave  Douglas St	Woodbridge	NJ	STC Five LLC
1063369	40.6975	-74.1541667	Newark Airport	Newark	NJ	ITT
1065370	40.72325	-74.0005556	72-76- Greene St NY01853C	New York	NY	T-Mobile Northeast LLC
1072507	40.5804167	-74.2542222	2500 Blaire Rd	Carteret	NJ	SBA 2012 TC Assets LLC
1200413	40.0914722	-74.7181944	NA	COLUMBUS		MOUNT HOLLY WATER COMPANY
1203303	39.2808333	-81.675	1 MI SE OF CR 212  FAIRFIELD DR	PORTERFIELD	OH	
1207292	40.5098056	-74.2879722	SMITH ST  CONVERY BLVD	PERTH AMBOY	NJ	American Towers LLC
1208519	40.4469444	-74.4080556	NA	MILL		CROWN CASTLE INTL
1208705	40.6798611	-74.1671667	Port of Newark	Newark	NJ	ITT
1211854	40.7200556	-74.0048056	32 Avenue Of The Americas  West Tower	New York	NY	32 AA Associates LLC   co Rudin Management Company Inc
1211854	40.0390556	-75.0673611	NA	CHELTENHAM		NEXTEL COMMUNICATIONS
1212472	40.6620556	-74.2026389	925 E JERSEY STREET	ELIZABETH	NJ	
1214775	40.1196389	-74.8368889	100 Corell Drive	Bristol	SBA 2012 TC Assets LLC	
1219772	40.6595556	-74.1898889	2 Papetti Plaza  NJ05410F	Elizabeth	NJ	
1222246	40.6598333	-74.1763333	322 Third Street NJ05310B	Elizabeth	NJ	
1224959	40.69275	-74.1817222	Newark Airport Marriot NJ05748D	Newark	NJ	T-Mobile Northeast LLC
1230734	40.6930556	-74.1625	NA	NEWARK	NJ	TEST
1232311	40.6861944	-74.16375	NA	ELIZABETH	NJ	PENN CENTRAL COMMUNICATIONS COMPANY
1233210	40.6693611	-74.2022222	471 Sprint St NJ05140A	Elizabeth	NJ	
1233269	40.7067778	-74.1716111	NLIA AIRPORT W0201 POLE 8	Newark	NJ	Port Authority of New York and New Jersey
1233486	40.7097778	-74.1583611	50 PORT ST	NEWARK	NJ	CCATT LLC
1234559	40.6915	-74.1635278	NA	NEWARK	NJ	THE PORT AUTHORITY OF NY  NJ
1238094	40.6910278	-74.1630278	NA	NEWARK	NJ	THE PORT AUTHORITY OF NY  NJ
1238096	40.6899167	-74.164	NA	NEWARK	NJ	THE PORT AUTHORITY OF NY  NJ
1239094	40.6947222	-74.1841667	AIRPORT ENTRANCE ADJACENT TO TOWER RD	NEWARK	NJ	NEW YORK  NEW JERSEY PORT AUTHORITY
1241010	40.6612222	-74.1868056	502 YORK STREET	ELIZABETH	NJ	
1244270	40.6305556	-74.1688889	COMMERCIAL DEVELOPMENT W OF SOUTH AVE	ARLINGTON	NY	
1247363	40.6888333	-74.1511667	231 TYLER STREET	NEWARK	NJ	PO PORTS OF N AMERICA
1251555	40.7175	-74.0088889	60 HUDSON STREET	NEW YORK	NY	Verestar Inc Debtor-in-Possession
1254511	40.6905556	-74.1625	0 km N of FAA Bldg 304 Newark Liberty Intl Airport	Newark	NJ	Port Authority of New York and New Jersey
1256638	40.6398056	-74.2101389	2110 Allen St Extension	Linden	NJ	
1256836	40.5392222	-74.2995833	Port Reading Avenue	Port Reading	NJ	New Jersey Turnpike Authority
1261016	40.5305833	-74.2636389	1160 State St	Perth Amboy	NJ	TowerCo 2013 LLC
1261619	40.5182778	-74.2876944	440 Florida Grove Road	Perth Amboy	NJ	Eco-Site II LCC
1263701	40.7108889	-74.0055278	8 SPRUCE STREET	NEW YORK	NY	FC BEEKMAN ASSOCIATES LLC
1267432	40.0908056	-74.8812222	2901 River Road	Croydon	SBA Monarch Towers II LLC	
