Date	Time	Record_Type	Tower_ID
7/1/19	13:25:32	Call	1274505
7/1/19	14:45:00	SMS	1211854
7/1/19	14:45:33	SMS	1297856
7/1/19	17:00:06	Email	1273918
7/1/19	18:04:45	SMS	1305192
7/1/19	18:20:19	Call	1279066
7/1/19	19:20:19	Email	1274651
7/1/19	20:10:11	Email	1272950
7/1/19	20:30:15	Email	1284559
7/1/19	20:35:55	SMS	1307868
7/1/19	23:11:01	SMS	1291123
7/1/19	23:15:45	SMS	1277955
7/1/19	23:20:38	SMS	1291125
7/2/19	0:05:34	Call	1263701
7/2/19	14:37:00	Call	1006424
7/2/19	14:40:03	SMS	1065370
7/2/19	14:44:23	Email	1276160
7/2/19	15:11:50	Email	1280559
7/2/19	15:22:01	Email	1251555
7/2/19	17:27:47	Call	1033201
7/2/19	18:01:44	Email	1280621
7/2/19	18:03:22	SMS	1063369
7/2/19	18:03:45	SMS	1224959
7/2/19	19:45:00	Call	1271168
7/2/19	20:00:04	SMS	1208705
7/2/19	20:05:50	SMS	1239094
7/2/19	20:06:35	SMS	1278034
7/2/19	20:30:33	Call	1254511
7/2/19	21:43:23	SMS	1292950
7/2/19	21:35:00	SMS	1278033
7/2/19	21:55:33	SMS	1233269
7/2/19	22:00:00	Call	1233486
7/3/19	14:00:00	Ping	1279304
7/3/19	14:05:00	Ping	1279475
7/3/19	14:10:00	Ping	1280126
7/3/19	14:15:00	Ping	1238094
7/3/19	14:20:00	Ping	1238096
7/3/19	14:25:00	Ping	1232311
7/3/19	14:30:00	Ping	1234559
7/3/19	14:35:00	Ping	1456094
7/3/19	14:40:00	Ping	1280223
7/3/19	14:45:00	Ping	1987705
7/3/19	14:50:00	Ping	1230734
7/3/19	14:55:00	Ping	1273695
7/3/19	15:00:00	Ping	1006553
7/3/19	15:05:00	Ping	1038739
7/3/19	15:10:00	Ping	1247363
7/3/19	15:15:00	Ping	1233210
7/3/19	15:20:00	Ping	1052871
7/3/19	15:25:00	Ping	1244270
7/3/19	15:30:00	Ping	1052707
7/3/19	15:35:00	Ping	1222246
7/3/19	15:40:00	Ping	1203303
7/3/19	15:45:00	Ping	1241010
7/3/19	15:50:00	Ping	1219772
7/3/19	15:55:00	Ping	1061413
7/3/19	16:00:00	Ping	1301899
7/3/19	16:05:00	Ping	1256638
7/3/19	16:10:00	Ping	1301349
7/3/19	16:15:00	Ping	1212472
7/3/19	16:20:00	Ping	1207292
7/3/19	16:25:00	Ping	1261619
7/3/19	16:30:00	Ping	1061400
7/3/19	16:35:00	Ping	1261016
7/3/19	16:40:00	Ping	1256836
7/3/19	16:45:00	Ping	1063147
7/3/19	16:50:00	Ping	1072507
7/3/19	16:55:00	Ping	1270334
7/3/19	17:00:00	Ping	1208519
7/3/19	17:05:00	Ping	1276695
7/3/19	17:10:00	Ping	1033211
7/3/19	17:15:00	Ping	1052702
7/3/19	17:20:00	Ping	1061403
7/3/19	17:25:00	Ping	1267626
7/3/19	17:30:00	Ping	1200413
7/3/19	17:35:00	Ping	1273949
7/3/19	17:40:00	Ping	1276206
7/3/19	17:45:00	Ping	1283627
7/3/19	17:50:00	Ping	1267432
7/3/19	17:55:00	Ping	1272650
7/3/19	18:00:00	Ping	1214775
7/3/19	18:05:00	Ping	1055781
7/3/19	18:10:00	Ping	1055782
7/3/19	18:15:00	Ping	1055783
7/3/19	18:20:00	Ping	1055784
7/3/19	18:25:00	Ping	1055785
7/3/19	18:30:00	Ping	1055786
7/3/19	18:35:00	Ping	1055787
7/3/19	18:40:00	Ping	1055788
7/3/19	18:45:00	Ping	1055789
7/3/19	18:50:00	Ping	1055790
7/3/19	18:55:00	Ping	1055791
7/3/19	19:05:00	Ping	1055792
7/3/19	19:10:00	Ping	1055793
7/3/19	19:15:00	Ping	1055794
7/3/19	19:20:00	Ping	1055795
7/3/19	19:25:00	Ping	1055796
7/3/19	19:30:00	Ping	1055797
7/3/19	19:35:00	Ping	1055798
7/3/19	19:40:00	Ping	1055799
7/3/19	19:45:00	Ping	1055895
7/3/19	19:50:00	Ping	1284559
7/3/19	19:55:00	Ping	1211854
7/3/19	20:00:00	Ping	1273918
7/3/19	20:05:00	Ping	1297856
7/3/19	20:10:00	Ping	1033200
