Tower ID, Latitudes, Longitudes, Time, Date, Record Type
1305192, 40.7430278, -73.9904444, 13:25:32, 7/1/19, Call 
1065370, 40.72325, -74.0005556, 14:45:00, 7/1/19, SMS 
1272950, 40.7198056, -73.9844167, 14:45:33, 7/1/19, SMS 
1274651, 40.7378611, -73.9842222, 17:00:06, 7/1/19, Email 
1274651, 40.7378611, -73.9842222, 18:04:45, 7/1/19, SMS 
1065370, 40.72325, -74.0005556, 18:20:19, 7/1/19, Call 
1305192, 40.7430278, -73.9904444, 19:20:19, 7/1/19, Email 
1224959, 40.69275, -74.1817222, 20:10:11, 7/1/19, Email 
1271168, 39.2808333, -81.675, 20:30:15, 7/1/19, Email 
1292950, 40.7100833, -74.1575278, 20:35:55, 7/1/19, SMS 
1233269, 40.7067778, -74.1716111, 23:11:01, 7/1/19, SMS 
1280126, 40.7094167, -74.1765833, 23:15:45, 7/1/19, SMS 
1273695, 40.6886667, -74.1657778, 23:20:38, 7/1/19, SMS 
1222246, 40.6598333, -74.1763333, 0:05:34, 7/2/19, Call 
1301899, 40.6620556, -74.2156944, 14:37:00, 7/2/19, Call 
1256836, 40.5392222, -74.2995833, 14:40:03, 7/2/19, SMS 
1061400, 40.5328056, -74.2983611, 14:44:23, 7/2/19, Email 
1063147, 40.5845278, -74.2792222, 15:11:50, 7/2/19, Email 
1276695, 40.4478611, -74.3623611, 15:22:01, 7/2/19, Email 
1273949, 40.11175, -74.7081944, 17:27:47, 7/2/19, Call 
1272650, 40.1217778, -74.8515278, 18:01:44, 7/2/19, Email 
1301349, 40.6678611, -74.2170833, 18:03:22, 7/2/19, SMS 
1256836, 40.5392222, -74.2995833, 18:03:45, 7/2/19, SMS 
1208519, 40.4469444, -74.4080556, 19:45:00, 7/2/19, Call 
1061403, 40.4466111, -74.4073611, 20:00:04, 7/2/19, SMS 
1273949, 40.11175, -74.7081944, 20:05:50, 7/2/19, SMS 
1283627, 40.1207222, -74.71425, 20:06:35, 7/2/19, SMS 
1272650, 40.1217778, -74.8515278, 20:30:33, 7/2/19, Call 
1214775, 40.1196389, -74.8368889, 21:43:23, 7/2/19, SMS 
1055782, 40.0250278, -75.0354722, 21:35:00, 7/2/19, SMS 
1055783, 40.0728333, -75.0592222, 21:55:33, 7/2/19, SMS 
1055785, 40.06475, -75.0515, 22:00:00, 7/2/19, Call 
1055793, 40.0739722, -75.0581667, 14:00:00, 7/3/19, Ping 
1055793, 40.0739722, -75.0581667, 14:05:00, 7/3/19, Ping 
1055793, 40.0739722, -75.0581667, 14:10:00, 7/3/19, Ping 
1055793, 40.0739722, -75.0581667, 14:15:00, 7/3/19, Ping 
1055895, 40.01775, -75.0469167, 14:20:00, 7/3/19, Ping 
1055895, 40.01775, -75.0469167, 14:25:00, 7/3/19, Ping 
1055895, 40.01775, -75.0469167, 14:30:00, 7/3/19, Ping 
1055895, 40.01775, -75.0469167, 14:35:00, 7/3/19, Ping 
1055895, 40.01775, -75.0469167, 14:40:00, 7/3/19, Ping 
1055895, 40.01775, -75.0469167, 14:45:00, 7/3/19, Ping 
1055797, 40.0421389, -75.0888889, 14:50:00, 7/3/19, Ping 
1055797, 40.0421389, -75.0888889, 14:55:00, 7/3/19, Ping 
1055797, 40.0421389, -75.0888889, 15:00:00, 7/3/19, Ping 
1055797, 40.0421389, -75.0888889, 15:05:00, 7/3/19, Ping 
